Action,Time,Sensor,
Movement,"October 21, 2016 at 03:01PM",Motion Sensor,
Movement,"October 21, 2016 at 03:02PM",Motion Sensor,
Movement,"October 21, 2016 at 03:02PM",Motion Sensor,
Open,"October 21, 2016 at 03:02PM",Wireless Lab door,
Movement,"October 21, 2016 at 03:02PM",Motion Sensor,
Closed,"October 21, 2016 at 03:02PM",Wireless Lab door,
Movement,"October 21, 2016 at 03:03PM",Motion Sensor,
Movement,"October 21, 2016 at 03:03PM",Motion Sensor,
Movement,"October 21, 2016 at 03:03PM",Motion Sensor,
Movement,"October 21, 2016 at 03:04PM",Motion Sensor,
Movement,"October 21, 2016 at 03:05PM",Motion Sensor,
Movement,"October 21, 2016 at 03:05PM",Motion Sensor,
Movement,"October 21, 2016 at 03:06PM",Motion Sensor,
Movement,"October 21, 2016 at 03:06PM",Motion Sensor,
Movement,"October 21, 2016 at 03:06PM",Motion Sensor,
Movement,"October 21, 2016 at 03:07PM",Motion Sensor,
Movement,"October 21, 2016 at 03:07PM",Motion Sensor,
Movement,"October 21, 2016 at 03:07PM",Motion Sensor,
Movement,"October 21, 2016 at 03:08PM",Motion Sensor,
Closed,"October 21, 2016 at 03:08PM",Wireless Lab door,
Movement,"October 21, 2016 at 03:09PM",Motion Sensor,
Movement,"October 21, 2016 at 03:10PM",Motion Sensor,
Movement,"October 21, 2016 at 03:11PM",Motion Sensor,
Movement,"October 21, 2016 at 03:11PM",Motion Sensor,
Movement,"October 21, 2016 at 03:12PM",Motion Sensor,
Movement,"October 21, 2016 at 03:13PM",Motion Sensor,
Movement,"October 21, 2016 at 03:13PM",Motion Sensor,
Movement,"October 21, 2016 at 03:13PM",Motion Sensor,
Movement,"October 21, 2016 at 03:14PM",Motion Sensor,
Movement,"October 21, 2016 at 03:15PM",Motion Sensor,
Movement,"October 21, 2016 at 03:15PM",Motion Sensor,
Movement,"October 21, 2016 at 03:15PM",Motion Sensor,
Movement,"October 21, 2016 at 03:16PM",Motion Sensor,
Movement,"October 21, 2016 at 03:16PM",Motion Sensor,
Movement,"October 21, 2016 at 03:17PM",Motion Sensor,
Movement,"October 21, 2016 at 03:18PM",Motion Sensor,
Movement,"October 21, 2016 at 03:18PM",Motion Sensor,
Movement,"October 21, 2016 at 03:21PM",Motion Sensor,
Open,"October 21, 2016 at 03:22PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:23PM",Wireless Lab door,
Movement,"October 21, 2016 at 03:23PM",Motion Sensor,
Movement,"October 21, 2016 at 03:24PM",Motion Sensor,
Movement,"October 21, 2016 at 03:24PM",Motion Sensor,
Movement,"October 21, 2016 at 03:25PM",Motion Sensor,
Movement,"October 21, 2016 at 03:25PM",Motion Sensor,
Movement,"October 21, 2016 at 03:26PM",Motion Sensor,
Movement,"October 21, 2016 at 03:26PM",Motion Sensor,
Movement,"October 21, 2016 at 03:28PM",Motion Sensor,
Open,"October 21, 2016 at 03:29PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:29PM",Wireless Lab door,
Movement,"October 21, 2016 at 03:29PM",Motion Sensor,
Movement,"October 21, 2016 at 03:29PM",Motion Sensor,
Movement,"October 21, 2016 at 03:32PM",Motion Sensor,
Movement,"October 21, 2016 at 03:33PM",Motion Sensor,
Movement,"October 21, 2016 at 03:33PM",Motion Sensor,
Movement,"October 21, 2016 at 03:34PM",Motion Sensor,
Movement,"October 21, 2016 at 03:36PM",Motion Sensor,
Movement,"October 21, 2016 at 03:37PM",Motion Sensor,
Movement,"October 21, 2016 at 03:37PM",Motion Sensor,
Movement,"October 21, 2016 at 03:38PM",Motion Sensor,
Movement,"October 21, 2016 at 03:38PM",Motion Sensor,
Movement,"October 21, 2016 at 03:39PM",Motion Sensor,
Movement,"October 21, 2016 at 03:43PM",Motion Sensor,
Open,"October 21, 2016 at 03:44PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:45PM",Wireless Lab door,
Open,"October 21, 2016 at 03:45PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:45PM",Wireless Lab door,
Open,"October 21, 2016 at 03:45PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:45PM",Wireless Lab door,
Open,"October 21, 2016 at 03:46PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:46PM",Wireless Lab door,
Movement,"October 21, 2016 at 03:46PM",Motion Sensor,
Open,"October 21, 2016 at 03:46PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:47PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:47PM",Wireless Lab door,
Movement,"October 21, 2016 at 03:47PM",Motion Sensor,
Movement,"October 21, 2016 at 03:47PM",Motion Sensor,
Movement,"October 21, 2016 at 03:48PM",Motion Sensor,
Movement,"October 21, 2016 at 03:48PM",Motion Sensor,
Movement,"October 21, 2016 at 03:49PM",Motion Sensor,
Movement,"October 21, 2016 at 03:51PM",Motion Sensor,
Open,"October 21, 2016 at 03:51PM",Wireless Lab door,
Movement,"October 21, 2016 at 03:51PM",Motion Sensor,
Open,"October 21, 2016 at 03:54PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:54PM",Wireless Lab door,
Movement,"October 21, 2016 at 03:57PM",Motion Sensor,
Open,"October 21, 2016 at 03:57PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:57PM",Wireless Lab door,
Open,"October 21, 2016 at 03:57PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:57PM",Wireless Lab door,
Open,"October 21, 2016 at 03:57PM",Wireless Lab door,
Closed,"October 21, 2016 at 03:57PM",Wireless Lab door,
Open,"October 21, 2016 at 04:01PM",Wireless Lab door,
Closed,"October 21, 2016 at 04:01PM",Wireless Lab door,
Open,"October 21, 2016 at 04:01PM",Wireless Lab door,
Closed,"October 21, 2016 at 04:01PM",Wireless Lab door,
Movement,"October 21, 2016 at 04:02PM",Motion Sensor,
Open,"October 21, 2016 at 04:04PM",Wireless Lab door,
Closed,"October 21, 2016 at 04:04PM",Wireless Lab door,
Movement,"October 21, 2016 at 04:05PM",Motion Sensor,
Open,"October 21, 2016 at 04:06PM",Wireless Lab door,
Closed,"October 21, 2016 at 04:06PM",Wireless Lab door,
Movement,"October 21, 2016 at 04:07PM",Motion Sensor,
Movement,"October 21, 2016 at 04:09PM",Motion Sensor,
Movement,"October 21, 2016 at 04:10PM",Motion Sensor,
Movement,"October 21, 2016 at 04:12PM",Motion Sensor,
Movement,"October 21, 2016 at 04:12PM",Motion Sensor,
Movement,"October 21, 2016 at 04:16PM",Motion Sensor,
Movement,"October 21, 2016 at 04:17PM",Motion Sensor,
Open,"October 21, 2016 at 04:18PM",Wireless Lab door,
Closed,"October 21, 2016 at 04:18PM",Wireless Lab door,
Open,"October 21, 2016 at 04:18PM",Wireless Lab door,
Closed,"October 21, 2016 at 04:19PM",Wireless Lab door,
Open,"October 21, 2016 at 04:20PM",Wireless Lab door,
Closed,"October 21, 2016 at 04:20PM",Wireless Lab door,
Movement,"October 21, 2016 at 04:20PM",Motion Sensor,
Movement,"October 21, 2016 at 04:21PM",Motion Sensor,
Movement,"October 21, 2016 at 04:24PM",Motion Sensor,
Movement,"October 21, 2016 at 04:24PM",Motion Sensor,
Movement,"October 21, 2016 at 04:24PM",Motion Sensor,
Movement,"October 21, 2016 at 04:25PM",Motion Sensor,
Movement,"October 21, 2016 at 04:27PM",Motion Sensor,
Movement,"October 21, 2016 at 04:28PM",Motion Sensor,
Movement,"October 21, 2016 at 04:30PM",Motion Sensor,
Movement,"October 21, 2016 at 04:30PM",Motion Sensor,
Movement,"October 21, 2016 at 04:31PM",Motion Sensor,
